*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,struct_mrx_10_000000,0.8850,0.6887,0.5624,0.4183,0.8582,0.8873,0.2069,0.2000,0.2143,0.6207,0.6000,0.6429,1.1379,0.9022
0,struct_mrx_10_000001,0.9178,0.5684,0.3771,0.2394,0.8866,0.8548,0.2632,0.3333,0.2174,0.5263,0.6667,0.4348,2.7619,0.9098
0,struct_mrx_10_000002,0.8588,0.5312,0.3398,0.2149,0.8113,0.8170,0.0952,0.0909,0.1000,0.5238,0.5000,0.5500,0.7176,0.7176
0,struct_mrx_10_000003,0.8668,0.6343,0.4997,0.3574,0.8303,0.8970,0.1081,0.1176,0.1000,0.6486,0.7059,0.6000,1.4824,1.3845
0,struct_mrx_10_000004,0.9284,0.6026,0.3862,0.2458,0.9005,0.8503,0.3590,0.4118,0.3182,0.7692,0.8824,0.6818,0.8411,0.6307
0,struct_mrx_10_000005,0.7664,0.5609,0.3615,0.2532,0.6321,0.8686,0.1538,0.1250,0.2000,0.4231,0.3438,0.5500,1.7089,3.0937
0,struct_mrx_10_000006,0.7524,0.5425,0.3433,0.2391,0.6089,0.8345,0.1778,0.1482,0.2222,0.5333,0.4444,0.6667,1.7862,4.0827
0,struct_mrx_10_000007,0.8566,0.5938,0.3487,0.2274,0.7481,0.8352,0.1026,0.1053,0.1000,0.4103,0.4210,0.4000,2.8820,3.5586
0,struct_mrx_10_000008,0.8314,0.5886,0.3765,0.2558,0.7131,0.8610,0.1778,0.1667,0.1905,0.6222,0.5833,0.6667,1.1558,1.0115
0,struct_mrx_10_000009,0.8356,0.5212,0.3031,0.1919,0.7208,0.8257,0.1538,0.1765,0.1364,0.4615,0.5294,0.4091,3.9394,1.8766
0,struct_mrx_10_000010,0.8263,0.5095,0.2905,0.1808,0.7389,0.7725,0.1081,0.1053,0.1111,0.4865,0.4737,0.5000,2.2854,2.3016
