*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,struct_mrx_10_000000,0.7948,0.3949,0.2876,0.1779,0.7510,0.6876,0.3077,0.3333,0.2857,0.3846,0.4167,0.3571,4.0644,2.9174
0,struct_mrx_10_000001,0.9270,0.2931,0.1588,0.0869,0.9144,0.5207,0.1936,0.3750,0.1304,0.3871,0.7500,0.2609,21.5770,1.5061
0,struct_mrx_10_000002,0.7768,0.4279,0.2962,0.1862,0.7239,0.7994,0.2222,0.2500,0.2000,0.3889,0.4375,0.3500,4.7838,3.3966
0,struct_mrx_10_000003,0.9171,0.3526,0.2302,0.1318,0.9107,0.6213,0.2222,0.4286,0.1500,0.2963,0.5714,0.2000,8.5577,1.3971
0,struct_mrx_10_000004,0.8618,0.4342,0.2677,0.1599,0.8224,0.7647,0.1765,0.2500,0.1364,0.4118,0.5833,0.3182,8.3892,2.1276
0,struct_mrx_10_000005,0.8374,0.3622,0.2361,0.1378,0.8218,0.6887,0.2424,0.3077,0.2000,0.5454,0.6923,0.4500,5.3840,1.7922
0,struct_mrx_10_000006,0.8421,0.4174,0.2751,0.1654,0.8173,0.6902,0.2581,0.3077,0.2222,0.5161,0.6154,0.4444,5.0603,1.7975
0,struct_mrx_10_000007,0.8951,0.3350,0.1948,0.1097,0.8670,0.5801,0.2143,0.3750,0.1500,0.3571,0.6250,0.2500,14.0170,1.9300
0,struct_mrx_10_000008,0.8161,0.4404,0.2898,0.1797,0.7487,0.7824,0.1714,0.2143,0.1429,0.5143,0.6429,0.4286,4.2762,1.5349
0,struct_mrx_10_000009,0.8577,0.2786,0.1826,0.1019,0.8762,0.5894,0.1818,0.2727,0.1364,0.3030,0.4546,0.2273,8.4556,3.3701
0,struct_mrx_10_000010,0.8477,0.4478,0.3090,0.1904,0.8192,0.7670,0.2000,0.2500,0.1667,0.4000,0.5000,0.3333,5.3054,2.0496
0,struct_mrx_10_000011,0.7274,0.3940,0.3083,0.1990,0.6842,0.7501,0.2222,0.2500,0.2000,0.2222,0.2500,0.2000,4.6734,4.1693
0,struct_mrx_10_000012,0.8744,0.3140,0.1805,0.1008,0.8593,0.5632,0.2500,0.3333,0.2000,0.4375,0.5833,0.3500,8.8235,2.0828
0,struct_mrx_10_000013,0.9512,0.2275,0.1405,0.0759,0.9496,0.3096,0.2667,0.5714,0.1739,0.4000,0.8571,0.2609,51.5300,0.1209
0,struct_mrx_10_000014,0.8827,0.2528,0.1553,0.0853,0.8616,0.4394,0.2000,0.3333,0.1429,0.4000,0.6667,0.2857,8.4775,1.6954
0,struct_mrx_10_000015,0.8488,0.3719,0.2842,0.1704,0.8564,0.7204,0.2143,0.3333,0.1579,0.4286,0.6667,0.3158,5.3932,2.0167
0,struct_mrx_10_000016,0.7660,0.4169,0.3039,0.1913,0.7390,0.7866,0.1053,0.1053,0.1053,0.7368,0.7368,0.7368,2.0864,2.0864
0,struct_mrx_10_000017,0.7669,0.3979,0.3049,0.1916,0.7459,0.7678,0.1936,0.2143,0.1765,0.3871,0.4286,0.3529,4.2719,3.3876
0,struct_mrx_10_000018,0.8602,0.3636,0.2436,0.1422,0.8494,0.7103,0.2500,0.3636,0.1905,0.3750,0.5454,0.2857,5.7515,2.3378
0,struct_mrx_10_000019,0.8567,0.3686,0.2223,0.1284,0.8297,0.7403,0.2162,0.3077,0.1667,0.2703,0.3846,0.2083,6.4638,3.7444
0,struct_mrx_10_000020,0.7362,0.3635,0.2530,0.1558,0.6720,0.7234,0.1714,0.2000,0.1500,0.3429,0.4000,0.3000,5.9287,3.8848
0,struct_mrx_10_000021,0.8406,0.3744,0.2951,0.1785,0.8494,0.6632,0.3200,0.4444,0.2500,0.3200,0.4444,0.2500,4.6012,2.0661
