*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,struct_mrx_09_000000,0.4827,0.5630,0.4728,0.5183,0.4347,0.6745,0.3636,0.4000,0.3333,0.6364,0.7000,0.5833,1.6012,0.8982
0,struct_mrx_09_000001,0.5164,0.3761,0.4204,0.3314,0.5745,0.6837,0.3636,0.3077,0.4444,0.3636,0.3077,0.4444,4.6868,5.2539
0,struct_mrx_09_000002,0.7422,0.1437,0.4406,0.2973,0.8507,0.3744,0.0690,0.0556,0.0909,0.4138,0.3333,0.5454,2.8380,5.4999
0,struct_mrx_09_000003,0.8174,0.4753,0.5319,0.3870,0.8502,0.6365,0.1111,0.1429,0.0909,0.5556,0.7143,0.4546,7.4524,2.1550
0,struct_mrx_09_000004,0.8891,0.2784,0.4256,0.2788,0.8982,0.4115,0.1053,0.1667,0.0769,0.2105,0.3333,0.1538,14.5610,5.3130
0,struct_mrx_09_000005,0.5387,0.6810,0.5968,0.6949,0.5230,0.7612,0.3333,0.2500,0.5000,0.3333,0.2500,0.5000,8.9963,22.5690
0,struct_mrx_09_000006,0.6227,0.6783,0.6127,0.6936,0.5488,0.7757,0.1000,0.0833,0.1250,0.3000,0.2500,0.3750,3.7490,4.6009
0,struct_mrx_09_000007,0.7624,0.6160,0.5955,0.5072,0.7209,0.8400,0.1739,0.1818,0.1667,0.3478,0.3636,0.3333,8.3785,7.6048
0,struct_mrx_09_000008,0.6546,0.4702,0.4502,0.3855,0.5408,0.6464,0.1053,0.0833,0.1429,0.3158,0.2500,0.4286,5.6072,5.2882
0,struct_mrx_09_000009,0.7522,0.6342,0.5322,0.4497,0.6518,0.7593,0.0800,0.0769,0.0833,0.6400,0.6154,0.6667,1.6954,1.7258
0,struct_mrx_09_000010,0.6344,0.5874,0.5575,0.5435,0.5722,0.6777,0.3158,0.2727,0.3750,0.4210,0.3636,0.5000,3.1155,4.1957
0,struct_mrx_09_000011,0.7286,0.6466,0.5738,0.5212,0.6383,0.7727,0.2105,0.2500,0.1818,0.4210,0.5000,0.3636,4.0740,2.8681
0,struct_mrx_09_000012,0.8125,0.3699,0.4859,0.3418,0.8396,0.5251,0.3333,0.5000,0.2500,0.6667,1.0000,0.5000,6.9959,0.5490
0,struct_mrx_09_000013,0.6398,0.3389,0.4100,0.2898,0.7010,0.5394,0.0870,0.1111,0.0714,0.4348,0.5556,0.3571,10.5740,2.6036
0,struct_mrx_09_000014,0.6010,0.5101,0.4960,0.4545,0.5457,0.6518,0.0000,0.0000,0.0000,0.2222,0.2500,0.2000,7.5505,6.7474
0,struct_mrx_09_000015,0.8119,0.3440,0.4907,0.3390,0.8880,0.5187,0.1176,0.1667,0.0909,0.3529,0.5000,0.2727,8.8597,3.0556
0,struct_mrx_09_000016,0.6546,0.7334,0.6028,0.6713,0.5469,0.8029,0.0870,0.0714,0.1111,0.7826,0.6429,1.0000,1.8660,2.3307
0,struct_mrx_09_000017,0.9110,0.4349,0.5635,0.3983,0.9632,0.6488,0.2000,0.2222,0.1818,0.5000,0.5556,0.4546,4.7220,2.9635
0,struct_mrx_09_000018,0.7967,0.6870,0.7301,0.6467,0.8382,0.8985,0.1818,0.2500,0.1429,0.5454,0.7500,0.4286,3.5925,2.3024
0,struct_mrx_09_000019,0.7190,0.6936,0.8111,0.7876,0.8361,0.8880,0.2105,0.2500,0.1818,0.3158,0.3750,0.2727,3.9069,3.6892
0,struct_mrx_09_000020,0.6851,0.5719,0.5340,0.4698,0.6184,0.7138,0.1176,0.1429,0.1000,0.4706,0.5714,0.4000,6.2516,2.2412
0,struct_mrx_09_000021,0.7984,0.4099,0.3959,0.2655,0.7782,0.6917,0.2308,0.2500,0.2143,0.3077,0.3333,0.2857,10.9760,9.2098
0,struct_mrx_09_000022,0.7327,0.4788,0.4478,0.3338,0.6800,0.6601,0.2400,0.3333,0.1875,0.6400,0.8889,0.5000,9.3495,0.9666
0,struct_mrx_09_000023,0.6021,0.3520,0.5041,0.3730,0.7774,0.6322,0.2500,0.4000,0.1818,0.2500,0.4000,0.1818,8.2461,8.1522
0,struct_mrx_09_000024,0.9025,0.2180,0.4335,0.2820,0.9368,0.3567,0.1111,0.1429,0.0909,0.4444,0.5714,0.3636,6.9499,2.8993
0,struct_mrx_09_000025,0.7454,0.6349,0.5985,0.5213,0.7027,0.8250,0.5263,0.5556,0.5000,0.5263,0.5556,0.5000,1.6718,0.3196
0,struct_mrx_09_000026,0.4794,0.6580,0.5934,0.7381,0.4962,0.6876,0.1111,0.0769,0.2000,0.5556,0.3846,1.0000,1.1859,5.2767
0,struct_mrx_09_000027,0.4264,0.3816,0.4222,0.4358,0.4094,0.6026,0.0952,0.0769,0.1250,0.2857,0.2308,0.3750,4.3604,5.1297
0,struct_mrx_09_000028,0.5311,0.6083,0.4749,0.5731,0.4054,0.7582,0.0741,0.0556,0.1111,0.6667,0.5000,1.0000,1.1258,3.4419
0,struct_mrx_09_000029,0.6239,0.3124,0.4301,0.3074,0.7156,0.6264,0.1111,0.1111,0.1111,0.2222,0.2222,0.2222,3.5207,3.5207
0,struct_mrx_09_000030,0.7250,0.4471,0.5202,0.3992,0.7467,0.6682,0.1333,0.1667,0.1111,0.5333,0.6667,0.4444,5.6617,1.1355
0,struct_mrx_09_000031,0.6150,0.3357,0.5577,0.4555,0.7191,0.5412,0.1111,0.1111,0.1111,0.2222,0.2222,0.2222,6.7945,6.5001
0,struct_mrx_09_000032,0.4951,0.5163,0.4531,0.5228,0.3998,0.6668,0.0909,0.0769,0.1111,0.2727,0.2308,0.3333,3.4926,3.9296
0,struct_mrx_09_000033,0.8967,0.5696,0.5786,0.4204,0.9276,0.7233,0.1818,0.2222,0.1538,0.8182,1.0000,0.6923,1.4504,0.9619
0,struct_mrx_09_000034,0.6415,0.4787,0.4807,0.4396,0.5302,0.6474,0.4210,0.4444,0.4000,0.8421,0.8889,0.8000,0.9838,0.7313
0,struct_mrx_09_000035,0.6173,0.5367,0.5265,0.4685,0.6008,0.7994,0.0909,0.0833,0.1000,0.4546,0.4167,0.5000,3.0999,3.3593
0,struct_mrx_09_000036,0.9534,0.5575,0.6176,0.4494,0.9872,0.7678,0.1538,0.2000,0.1250,0.3077,0.4000,0.2500,6.2083,3.4250
0,struct_mrx_09_000037,0.6612,0.2619,0.3971,0.2705,0.7464,0.5550,0.0909,0.1429,0.0667,0.1818,0.2857,0.1333,7.1103,4.8931
0,struct_mrx_09_000038,0.5024,0.5989,0.4881,0.5542,0.4361,0.7364,0.1111,0.1250,0.1000,0.6667,0.7500,0.6000,2.2212,1.8085
0,struct_mrx_09_000039,0.0928,0.7164,0.4650,0.8285,0.3232,0.3804,0.2222,0.1667,0.3333,0.6667,0.5000,1.0000,0.7945,2.7143
0,struct_mrx_09_000040,0.7519,0.6612,0.6537,0.6492,0.6583,0.7496,0.4706,0.5000,0.4444,0.8235,0.8750,0.7778,1.3848,0.8842
0,struct_mrx_09_000041,0.6135,0.5579,0.5505,0.4843,0.6378,0.7385,0.0000,0.0000,0.0000,0.5263,0.6250,0.4546,3.2644,2.8758
0,struct_mrx_09_000042,0.5295,0.5030,0.5463,0.5848,0.5126,0.6218,0.1333,0.1000,0.2000,0.5333,0.4000,0.8000,2.0091,4.0975
0,struct_mrx_09_000043,0.6714,0.5082,0.5443,0.4385,0.7174,0.7975,0.0870,0.1111,0.0714,0.3478,0.4444,0.2857,4.3811,3.5754
0,struct_mrx_09_000044,0.7664,0.7981,0.7119,0.7524,0.6755,0.8791,0.3333,0.3636,0.3077,0.8333,0.9091,0.7692,1.2701,0.8124
0,struct_mrx_09_000045,0.8981,0.6132,0.8324,0.7215,0.9835,0.7434,0.1429,0.1667,0.1250,0.7143,0.8333,0.6250,2.0653,1.5726
0,struct_mrx_09_000046,0.6150,0.6688,0.6736,0.7416,0.6171,0.7465,0.1250,0.1111,0.1429,0.5000,0.4444,0.5714,1.8985,3.3394
0,struct_mrx_09_000047,0.7260,0.6353,0.5297,0.4542,0.6352,0.8387,0.1739,0.2000,0.1538,0.5217,0.6000,0.4615,2.9900,2.2872
