*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,struct_mrx_10_000000,0.8990,0.6372,0.4996,0.3483,0.8838,0.8508,0.0667,0.0625,0.0714,0.6667,0.6250,0.7143,1.1528,1.1528
0,struct_mrx_10_000001,0.9509,0.4797,0.2563,0.1487,0.9293,0.7323,0.4000,0.5833,0.3044,0.5714,0.8333,0.4348,4.7035,0.3922
0,struct_mrx_10_000002,0.9282,0.5472,0.3730,0.2340,0.9190,0.8203,0.6486,0.7059,0.6000,0.7027,0.7647,0.6500,0.3976,0.3167
0,struct_mrx_10_000003,0.8949,0.5725,0.4168,0.2745,0.8651,0.8486,0.4571,0.5333,0.4000,0.6286,0.7333,0.5500,1.9283,0.4896
0,struct_mrx_10_000004,0.9119,0.4631,0.2562,0.1499,0.8807,0.7347,0.2632,0.3125,0.2273,0.6316,0.7500,0.5454,1.4151,0.6859
0,struct_mrx_10_000005,0.7364,0.4122,0.2416,0.1499,0.6233,0.7706,0.1333,0.1200,0.1500,0.3556,0.3200,0.4000,2.6487,3.3466
0,struct_mrx_10_000006,0.6541,0.4375,0.2738,0.1886,0.4995,0.8082,0.2258,0.1591,0.3889,0.4839,0.3409,0.8333,0.7295,4.8344
0,struct_mrx_10_000007,0.9012,0.5118,0.2937,0.1771,0.8599,0.7589,0.1875,0.2500,0.1500,0.4375,0.5833,0.3500,6.5219,1.2442
0,struct_mrx_10_000008,0.8052,0.4041,0.2170,0.1287,0.6912,0.7039,0.2727,0.2609,0.2857,0.5000,0.4783,0.5238,2.2369,1.7953
0,struct_mrx_10_000009,0.8010,0.3987,0.2113,0.1251,0.6804,0.7339,0.1778,0.1739,0.1818,0.4889,0.4783,0.5000,1.5707,3.7545
0,struct_mrx_10_000010,0.8412,0.4155,0.2361,0.1392,0.7781,0.6812,0.0588,0.0625,0.0556,0.4118,0.4375,0.3889,4.1174,2.7488
0,struct_mrx_10_000011,0.8890,0.6021,0.4628,0.3147,0.8744,0.8342,0.1290,0.1250,0.1333,0.7097,0.6875,0.7333,1.4751,1.4754
0,struct_mrx_10_000012,0.8125,0.4638,0.2890,0.1795,0.7412,0.7956,0.1395,0.1304,0.1500,0.6512,0.6087,0.7000,1.1149,1.1238
0,struct_mrx_10_000013,0.9137,0.5514,0.3215,0.1966,0.8825,0.7804,0.2564,0.3125,0.2174,0.6154,0.7500,0.5217,2.1708,1.5159
0,struct_mrx_10_000014,0.8854,0.4663,0.2613,0.1548,0.8388,0.7152,0.2703,0.3125,0.2381,0.6486,0.7500,0.5714,1.1379,0.6748
0,struct_mrx_10_000015,0.9002,0.5477,0.3782,0.2422,0.8627,0.8158,0.2941,0.3333,0.2632,0.6471,0.7333,0.5790,1.2121,0.6625
0,struct_mrx_10_000016,0.8449,0.5386,0.3854,0.2532,0.8066,0.8358,0.2564,0.2500,0.2632,0.7692,0.7500,0.7895,0.7225,0.8479
0,struct_mrx_10_000017,0.8647,0.5421,0.3776,0.2454,0.8176,0.8150,0.3529,0.3529,0.3529,0.4706,0.4706,0.4706,0.8895,0.8895
0,struct_mrx_10_000018,0.9242,0.5436,0.3764,0.2364,0.9221,0.8322,0.3810,0.3810,0.3810,0.8095,0.8095,0.8095,0.6014,0.5385
0,struct_mrx_10_000019,0.8516,0.5247,0.3371,0.2146,0.7855,0.8610,0.1818,0.2000,0.1667,0.4091,0.4500,0.3750,4.3428,2.4344
0,struct_mrx_10_000020,0.7832,0.5464,0.3766,0.2602,0.6817,0.8435,0.2667,0.2400,0.3000,0.5333,0.4800,0.6000,1.6215,1.6145
0,struct_mrx_10_000021,0.8700,0.4837,0.3346,0.2089,0.8408,0.7247,0.1818,0.1765,0.1875,0.4848,0.4706,0.5000,1.9384,3.0506
0,struct_mrx_10_000022,0.6893,0.4246,0.3068,0.2072,0.5908,0.7465,0.1600,0.1111,0.2857,0.3600,0.2500,0.6429,0.6894,6.2317
0,struct_mrx_10_000023,0.7810,0.6403,0.4932,0.3887,0.6748,0.8697,0.3125,0.3125,0.3125,0.4375,0.4375,0.4375,2.6957,2.7436
0,struct_mrx_10_000024,0.8660,0.6132,0.4524,0.3102,0.8353,0.8119,0.2667,0.2500,0.2857,0.6667,0.6250,0.7143,1.0250,1.0352
0,struct_mrx_10_000025,0.9048,0.4247,0.2368,0.1370,0.8704,0.7116,0.3415,0.3889,0.3044,0.6829,0.7778,0.6087,0.7581,0.6525
0,struct_mrx_10_000026,0.9088,0.5720,0.3836,0.2456,0.8758,0.8472,0.3415,0.3684,0.3182,0.7317,0.7895,0.6818,0.7840,0.5859
0,struct_mrx_10_000027,0.8184,0.4509,0.2700,0.1655,0.7324,0.8035,0.1364,0.1364,0.1364,0.4546,0.4546,0.4546,2.8088,3.2267
