*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,struct_mrx_10_000000,0.8802,0.5941,0.4362,0.2951,0.8364,0.8182,0.5625,0.5000,0.6429,0.6250,0.5556,0.7143,0.0232,0.4585
0,struct_mrx_10_000001,0.9796,0.5355,0.3329,0.2003,0.9853,0.8053,0.5000,0.6923,0.3913,0.7222,1.0000,0.5652,1.3293,0.3991
0,struct_mrx_10_000002,0.8934,0.5385,0.3278,0.2033,0.8464,0.7994,0.7826,0.6923,0.9000,0.7826,0.6923,0.9000,0.2961,0.3309
0,struct_mrx_10_000003,0.9118,0.5570,0.3677,0.2333,0.8672,0.8128,0.6667,0.7500,0.6000,0.7778,0.8750,0.7000,0.2149,0.0986
0,struct_mrx_10_000004,0.9022,0.4421,0.2458,0.1430,0.8733,0.7172,0.1053,0.1250,0.0909,0.7368,0.8750,0.6364,0.9405,0.9346
0,struct_mrx_10_000005,0.8706,0.2610,0.1578,0.0869,0.8550,0.4658,0.1379,0.2222,0.1000,0.2759,0.4444,0.2000,7.6742,5.2940
0,struct_mrx_10_000006,0.9654,0.5531,0.4138,0.2632,0.9668,0.8032,0.7429,0.7647,0.7222,0.7429,0.7647,0.7222,0.3311,0.3447
0,struct_mrx_10_000007,0.9000,0.5418,0.3698,0.2360,0.8533,0.8302,0.2000,0.3000,0.1500,0.4000,0.6000,0.3000,7.3526,1.8786
0,struct_mrx_10_000008,0.9192,0.4725,0.2728,0.1601,0.9217,0.7097,0.1875,0.2727,0.1429,0.5625,0.8182,0.4286,4.6321,0.6153
0,struct_mrx_10_000009,0.8790,0.4073,0.2204,0.1268,0.8438,0.6888,0.1667,0.2143,0.1364,0.4444,0.5714,0.3636,7.0092,2.0415
0,struct_mrx_10_000010,0.9231,0.4144,0.2844,0.1679,0.9286,0.7054,0.3871,0.4615,0.3333,0.8387,1.0000,0.7222,0.5920,0.5343
0,struct_mrx_10_000011,0.9840,0.5727,0.4369,0.2799,0.9946,0.7883,0.8485,0.7778,0.9333,0.8485,0.7778,0.9333,0.0795,0.2843
0,struct_mrx_10_000012,0.8662,0.4618,0.2505,0.1484,0.8016,0.7314,0.1212,0.1538,0.1000,0.4242,0.5385,0.3500,3.6598,0.9167
0,struct_mrx_10_000013,0.8595,0.5605,0.3362,0.2153,0.7661,0.8199,0.1395,0.1500,0.1304,0.6512,0.7000,0.6087,2.1014,1.6603
0,struct_mrx_10_000014,0.9359,0.5804,0.4192,0.2724,0.9095,0.8499,0.4516,0.7000,0.3333,0.5161,0.8000,0.3810,3.5759,0.0233
0,struct_mrx_10_000015,0.9743,0.4131,0.2611,0.1507,0.9749,0.6415,0.5185,0.8750,0.3684,0.5926,1.0000,0.4210,4.6901,0.0816
0,struct_mrx_10_000016,0.8880,0.5002,0.3206,0.1965,0.8697,0.7676,0.3125,0.3846,0.2632,0.5000,0.6154,0.4210,2.8562,1.3701
0,struct_mrx_10_000017,0.7848,0.5529,0.3201,0.2129,0.6450,0.8130,0.2927,0.2500,0.3529,0.4878,0.4167,0.5882,0.8708,4.3770
0,struct_mrx_10_000018,0.9109,0.4582,0.2982,0.1789,0.8948,0.7704,0.4242,0.5833,0.3333,0.6061,0.8333,0.4762,1.5212,0.0638
0,struct_mrx_10_000019,0.9290,0.4702,0.2924,0.1735,0.9276,0.7994,0.0976,0.1176,0.0833,0.8293,1.0000,0.7083,1.4510,0.9752
0,struct_mrx_10_000020,0.9359,0.5247,0.3519,0.2172,0.9268,0.7627,0.4375,0.5833,0.3500,0.6250,0.8333,0.5000,2.6977,0.3306
0,struct_mrx_10_000021,0.8666,0.5215,0.3474,0.2214,0.8071,0.7497,0.4706,0.4444,0.5000,0.8235,0.7778,0.8750,0.2925,1.3811
0,struct_mrx_10_000022,0.8603,0.5456,0.4318,0.2885,0.8579,0.7826,0.1482,0.1538,0.1429,0.6667,0.6923,0.6429,1.6040,1.6059
