*fileID,overSegScore,underSegScore,pwF,pwPrecision,pwRecall,R,Fmeasure@0.5s,precRate@0.5s,recRate@0.5s,medianTrue2claim@0.5s,medianClaim2true@0.5s,Fmeasure@3s,precRate@3s,recRate@3s,medianTrue2claim@3s,medianClaim2true@3s
1,0.52893,0.73574,0.48937,0.7216,0.37023,0.72088,0.21429,0.16667,0.3,1.7518,3.4747,0.5,0.38889,0.7,1.7518,3.4747
2,0.59787,0.52991,0.53689,0.54805,0.52617,0.75243,0.30769,0.2069,0.6,0.44595,1.2486,0.51282,0.34483,1,0.44595,1.2486
3,0.71361,0.68033,0.59534,0.55357,0.64394,0.74278,0.34483,0.27778,0.45455,0.7191,2.2288,0.55172,0.44444,0.72727,0.7191,2.2288
4,0.61441,0.85368,0.65281,0.82593,0.53968,0.78369,0.23077,0.17647,0.33333,0.6311,1.8892,0.61538,0.47059,0.88889,0.6311,1.8892
5,0.62058,0.59498,0.50174,0.52162,0.48332,0.76271,0.10811,0.083333,0.15385,1.6296,1.9951,0.54054,0.41667,0.76923,1.6296,1.9951
6,0.65943,0.78455,0.71304,0.80446,0.64027,0.85599,0,0,0,0.7123,1.6191,0.66667,0.5625,0.81818,0.7123,1.6191
7,0.88541,0.67807,0.67936,0.54808,0.89334,0.84114,0.48,0.42857,0.54545,0.4963,0.54245,0.72,0.64286,0.81818,0.4963,0.54245
8,0.47083,0.78592,0.52653,0.83984,0.38348,0.63861,0,0,0,1.7811,3.5698,0.32,0.21053,0.66667,1.7811,3.5698
9,0.73534,0.75175,0.65797,0.63136,0.68693,0.84024,0.095238,0.076923,0.125,1.3656,2.1036,0.57143,0.46154,0.75,1.3656,2.1036
10,0.63279,0.71055,0.57827,0.67495,0.50582,0.82959,0.058824,0.05,0.071429,1.7529,2.0379,0.64706,0.55,0.78571,1.7529,2.0379
11,0.70709,0.76981,0.75677,0.79502,0.72204,0.8276,0,0,0,2.2766,3.4707,0.45161,0.33333,0.7,2.2766,3.4707
12,0.72403,0.54893,0.4958,0.40429,0.64086,0.79394,0.125,0.095238,0.18182,2.4778,3.4081,0.4375,0.33333,0.63636,2.4778,3.4081
13,0.56992,0.43089,0.40362,0.35501,0.46764,0.73973,0.28571,0.18519,0.625,0.30005,8.7901,0.34286,0.22222,0.75,0.30005,8.7901
14,0.7433,0.62554,0.5194,0.42842,0.65945,0.7938,0.23077,0.1875,0.3,1.3631,2.2998,0.69231,0.5625,0.9,1.3631,2.2998
15,0.66728,0.75572,0.64459,0.68211,0.61098,0.82818,0.068966,0.055556,0.090909,1.0767,3.0719,0.55172,0.44444,0.72727,1.0767,3.0719
16,0.53158,0.40814,0.32654,0.27334,0.40548,0.68289,0.088889,0.060606,0.16667,2.3503,5.401,0.26667,0.18182,0.5,2.3503,5.401
17,0.73186,0.61411,0.52808,0.44132,0.6573,0.83839,0.2069,0.15789,0.3,1.2836,2.3875,0.55172,0.42105,0.8,1.2836,2.3875
18,0.60914,0.3442,0.27816,0.19847,0.46481,0.63307,0.21429,0.16667,0.3,2.4676,7.7688,0.35714,0.27778,0.5,2.4676,7.7688
19,0.48349,0.87859,0.54775,0.94091,0.38633,0.72345,0.27273,0.2,0.42857,1.7315,2.9356,0.54545,0.4,0.85714,1.7315,2.9356
