*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,struct_mrx_09_000000,0.7910,0.4359,0.5714,0.4295,0.8537,0.5653,0.2105,0.2857,0.1667,0.3158,0.4286,0.2500,9.3533,1.2878
0,struct_mrx_09_000001,0.7643,0.4460,0.5278,0.3951,0.7948,0.7183,0.1250,0.1429,0.1111,0.6250,0.7143,0.5556,2.9832,2.6189
0,struct_mrx_09_000002,0.5127,0.5635,0.4694,0.5492,0.4098,0.7327,0.1538,0.1333,0.1818,0.6154,0.5333,0.7273,1.6633,2.0190
0,struct_mrx_09_000003,0.4756,0.3362,0.3755,0.3365,0.4247,0.6580,0.0952,0.1000,0.0909,0.3810,0.4000,0.3636,4.1284,3.3596
0,struct_mrx_09_000004,0.7620,0.5515,0.5709,0.4534,0.7706,0.7167,0.0870,0.1000,0.0769,0.4348,0.5000,0.3846,5.8954,1.3620
0,struct_mrx_09_000005,0.5704,0.2277,0.5126,0.4261,0.6432,0.5875,0.4000,0.3333,0.5000,0.4000,0.3333,0.5000,4.8863,10.4560
0,struct_mrx_09_000006,0.6355,0.6474,0.6280,0.6613,0.5979,0.7737,0.1250,0.1250,0.1250,0.2500,0.2500,0.2500,3.4841,3.3468
0,struct_mrx_09_000007,0.8009,0.5529,0.5049,0.3767,0.7654,0.7572,0.1053,0.1429,0.0833,0.3158,0.4286,0.2500,11.4320,6.4261
0,struct_mrx_09_000008,0.8711,0.4706,0.5596,0.4118,0.8726,0.6375,0.2857,0.2857,0.2857,0.4286,0.4286,0.4286,3.4971,1.6113
0,struct_mrx_09_000009,0.8147,0.2917,0.3694,0.2424,0.7757,0.4471,0.1250,0.2500,0.0833,0.2500,0.5000,0.1667,42.9360,6.3370
0,struct_mrx_09_000010,0.6412,0.6647,0.6074,0.6431,0.5754,0.7370,0.1111,0.1000,0.1250,0.4444,0.4000,0.5000,2.9006,2.8625
0,struct_mrx_09_000011,0.7022,0.5048,0.5077,0.4319,0.6157,0.7173,0.1818,0.1818,0.1818,0.3636,0.3636,0.3636,5.3168,5.3168
0,struct_mrx_09_000012,0.6326,0.4525,0.5420,0.4681,0.6436,0.7097,0.1818,0.2000,0.1667,0.4546,0.5000,0.4167,3.9619,3.4015
0,struct_mrx_09_000013,0.5324,0.4048,0.3824,0.3312,0.4524,0.6699,0.1429,0.1429,0.1429,0.2857,0.2857,0.2857,5.2005,4.3631
0,struct_mrx_09_000014,0.6481,0.6198,0.6018,0.5990,0.6046,0.7499,0.1667,0.1429,0.2000,0.5833,0.5000,0.7000,2.0582,2.2469
0,struct_mrx_09_000015,0.6830,0.5510,0.5754,0.5373,0.6194,0.7622,0.1000,0.1111,0.0909,0.4000,0.4444,0.3636,3.4633,3.2755
0,struct_mrx_09_000016,0.7466,0.6002,0.6728,0.6155,0.7418,0.8043,0.1111,0.1111,0.1111,0.5556,0.5556,0.5556,1.8510,1.7441
0,struct_mrx_09_000017,0.5820,0.3461,0.4473,0.3681,0.5699,0.6703,0.0870,0.0833,0.0909,0.2609,0.2500,0.2727,6.7041,5.4666
0,struct_mrx_09_000018,0.8111,0.4170,0.4101,0.2812,0.7574,0.6457,0.0909,0.1250,0.0714,0.2727,0.3750,0.2143,16.8080,2.1410
0,struct_mrx_09_000019,0.5557,0.4927,0.4402,0.4242,0.4575,0.6688,0.1600,0.1429,0.1818,0.4800,0.4286,0.5454,2.4461,2.9139
0,struct_mrx_09_000020,0.7788,0.6793,0.7050,0.6282,0.8030,0.8238,0.1905,0.1818,0.2000,0.3810,0.3636,0.4000,3.2183,2.5750
0,struct_mrx_09_000021,0.6077,0.2966,0.3187,0.2155,0.6118,0.6158,0.2143,0.2143,0.2143,0.3571,0.3571,0.3571,8.2609,6.2323
0,struct_mrx_09_000022,0.6453,0.4377,0.4698,0.3844,0.6041,0.7265,0.0769,0.1000,0.0625,0.3846,0.5000,0.3125,9.0746,2.6737
0,struct_mrx_09_000023,0.5740,0.3847,0.4858,0.4063,0.6041,0.6913,0.3000,0.3333,0.2727,0.4000,0.4444,0.3636,3.9266,3.2061
0,struct_mrx_09_000024,0.5800,0.5586,0.6121,0.6135,0.6107,0.7986,0.2069,0.1667,0.2727,0.5517,0.4444,0.7273,1.3115,2.5000
0,struct_mrx_09_000025,0.7123,0.3548,0.4326,0.3120,0.7053,0.6565,0.1176,0.1429,0.1000,0.4706,0.5714,0.4000,4.9004,2.4310
